date,forecast_sarima,lower_sarima,upper_sarima,forecast_ets
2011-01-01,189.2856313161773,139.27580262475325,239.29546000760135,176.44430583594416
2011-02-01,170.73568775290963,120.7268519033515,220.74452360246775,153.53745273245954
2011-03-01,201.53777643471616,150.79434041433996,252.28121245509237,185.97011819221845
2011-04-01,201.4221827425123,150.8174963733758,252.02686911164878,186.53741359203065
2011-05-01,209.25355679311332,158.64887042397407,259.85824316225256,197.7527505148997
2011-06-01,190.05220422790188,139.44751785840145,240.6568905974023,171.04301114633554
2011-07-01,193.65208591621223,143.0473995467118,244.25677228571266,176.40265471103132
2011-08-01,195.28793113112079,144.68324476162036,245.8926175006212,179.44398519177983
2011-09-01,199.93346988165428,149.32878351215385,250.5381562511547,184.42349777696398
2011-10-01,205.8377257146549,155.23303934515448,256.44241208415536,189.28955632872936
2011-11-01,186.89670091482594,136.2920145453189,237.501387284333,168.4915273036369
2011-12-01,159.01568752041254,108.41100115091632,209.62037388990876,135.28411642061218
