year,month,cases,date,is_outlier_iqr
2001,1,236,2001-01-01,False
2001,2,174,2001-02-01,False
2001,3,219,2001-03-01,False
2001,4,178,2001-04-01,False
2001,5,295,2001-05-01,False
2001,6,225,2001-06-01,False
2001,7,225,2001-07-01,False
2001,8,260,2001-08-01,False
2001,9,213,2001-09-01,False
2001,10,221,2001-10-01,False
2001,11,234,2001-11-01,False
2001,12,208,2001-12-01,False
2002,1,219,2002-01-01,False
2002,2,233,2002-02-01,False
2002,3,237,2002-03-01,False
2002,4,285,2002-04-01,False
2002,5,268,2002-05-01,False
2002,6,175,2002-06-01,False
2002,7,242,2002-07-01,False
2002,8,278,2002-08-01,False
2002,9,242,2002-09-01,False
2002,10,247,2002-10-01,False
2002,11,229,2002-11-01,False
2002,12,176,2002-12-01,False
2003,1,261,2003-01-01,False
2003,2,227,2003-02-01,False
2003,3,260,2003-03-01,False
2003,4,252,2003-04-01,False
2003,5,260,2003-05-01,False
2003,6,220,2003-06-01,False
2003,7,244,2003-07-01,False
2003,8,212,2003-08-01,False
2003,9,224,2003-09-01,False
2003,10,273,2003-10-01,False
2003,11,234,2003-11-01,False
2003,12,189,2003-12-01,False
2004,1,238,2004-01-01,False
2004,2,187,2004-02-01,False
2004,3,266,2004-03-01,False
2004,4,230,2004-04-01,False
2004,5,235,2004-05-01,False
2004,6,216,2004-06-01,False
2004,7,234,2004-07-01,False
2004,8,232,2004-08-01,False
2004,9,298,2004-09-01,False
2004,10,243,2004-10-01,False
2004,11,219,2004-11-01,False
2004,12,179,2004-12-01,False
2005,1,234,2005-01-01,False
2005,2,235,2005-02-01,False
2005,3,235,2005-03-01,False
2005,4,285,2005-04-01,False
2005,5,243,2005-05-01,False
2005,6,252,2005-06-01,False
2005,7,224,2005-07-01,False
2005,8,220,2005-08-01,False
2005,9,261,2005-09-01,False
2005,10,263,2005-10-01,False
2005,11,255,2005-11-01,False
2005,12,220,2005-12-01,False
2006,1,212,2006-01-01,False
2006,2,201,2006-02-01,False
2006,3,270,2006-03-01,False
2006,4,210,2006-04-01,False
2006,5,233,2006-05-01,False
2006,6,252,2006-06-01,False
2006,7,234,2006-07-01,False
2006,8,220,2006-08-01,False
2006,9,246,2006-09-01,False
2006,10,240,2006-10-01,False
2006,11,224,2006-11-01,False
2006,12,201,2006-12-01,False
2007,1,212,2007-01-01,False
2007,2,189,2007-02-01,False
2007,3,226,2007-03-01,False
2007,4,229,2007-04-01,False
2007,5,253,2007-05-01,False
2007,6,236,2007-06-01,False
2007,7,183,2007-07-01,False
2007,8,231,2007-08-01,False
2007,9,213,2007-09-01,False
2007,10,235,2007-10-01,False
2007,11,179,2007-11-01,False
2007,12,177,2007-12-01,False
2008,1,163,2008-01-01,False
2008,2,175,2008-02-01,False
2008,3,177,2008-03-01,False
2008,4,197,2008-04-01,False
2008,5,193,2008-05-01,False
2008,6,179,2008-06-01,False
2008,7,219,2008-07-01,False
2008,8,188,2008-08-01,False
2008,9,210,2008-09-01,False
2008,10,203,2008-10-01,False
2008,11,193,2008-11-01,False
2008,12,152,2008-12-01,False
2009,1,200,2009-01-01,False
2009,2,153,2009-02-01,False
2009,3,181,2009-03-01,False
2009,4,215,2009-04-01,False
2009,5,207,2009-05-01,False
2009,6,196,2009-06-01,False
2009,7,199,2009-07-01,False
2009,8,195,2009-08-01,False
2009,9,178,2009-09-01,False
2009,10,208,2009-10-01,False
2009,11,183,2009-11-01,False
2009,12,153,2009-12-01,False
2010,1,192,2010-01-01,False
2010,2,133,2010-02-01,False
2010,3,200,2010-03-01,False
2010,4,213,2010-04-01,False
2010,5,205,2010-05-01,False
2010,6,173,2010-06-01,False
2010,7,184,2010-07-01,False
2010,8,224,2010-08-01,False
2010,9,209,2010-09-01,False
2010,10,205,2010-10-01,False
2010,11,168,2010-11-01,False
2010,12,172,2010-12-01,False
