date,1,2,3,4,5,6,7,8,9,10,11,12
2001,236,174,219,178,295,225,225,260,213,221,234,208
2002,219,233,237,285,268,175,242,278,242,247,229,176
2003,261,227,260,252,260,220,244,212,224,273,234,189
2004,238,187,266,230,235,216,234,232,298,243,219,179
2005,234,235,235,285,243,252,224,220,261,263,255,220
2006,212,201,270,210,233,252,234,220,246,240,224,201
2007,212,189,226,229,253,236,183,231,213,235,179,177
2008,163,175,177,197,193,179,219,188,210,203,193,152
2009,200,153,181,215,207,196,199,195,178,208,183,153
2010,192,133,200,213,205,173,184,224,209,205,168,172
