date,year,month,cases,month_num
2004-09-01,2004,9,298,9
2001-05-01,2001,5,295,5
2005-04-01,2005,4,285,4
2002-04-01,2002,4,285,4
2002-08-01,2002,8,278,8
2003-10-01,2003,10,273,10
2006-03-01,2006,3,270,3
2002-05-01,2002,5,268,5
2004-03-01,2004,3,266,3
2005-10-01,2005,10,263,10
2003-01-01,2003,1,261,1
2005-09-01,2005,9,261,9
2003-03-01,2003,3,260,3
2001-08-01,2001,8,260,8
2003-05-01,2003,5,260,5
2005-11-01,2005,11,255,11
2007-05-01,2007,5,253,5
2003-04-01,2003,4,252,4
2006-06-01,2006,6,252,6
2005-06-01,2005,6,252,6
